person_id,from_date,to_date,store_id
1759024,2020-09-01,2021-01-31,1
1759024,2019-05-28,2019-11-27,1
1759024,2021-06-15,2022-01-27,1
1759027,2018-05-24,2018-07-23,1
1759029,2019-05-28,2019-07-27,1
1759031,2019-11-22,2019-12-17,1
1759033,2019-09-03,2021-10-13,1
1759034,2019-04-15,2019-06-19,1
1759038,2019-05-15,2019-11-14,1
1759043,2018-06-14,2018-07-28,1
1759048,2020-07-30,2020-09-29,1
1759051,2019-04-01,2019-05-31,1
1759052,2018-11-09,2019-01-26,1
1759056,2018-05-21,2018-05-28,1
1759060,2022-03-07,2022-06-06,1
1759064,2021-09-01,2021-09-15,1
1759069,2021-08-27,2022-01-26,1
1759073,2021-11-22,2022-01-23,1
1759079,2021-11-15,2022-03-31,1
1759082,2021-11-08,2022-01-16,1
1759086,2022-03-03,2022-06-02,1
1759089,2021-10-14,2022-01-29,1
1759092,2021-05-22,2021-09-05,1
1759098,2021-09-17,2022-01-23,1
1759101,2021-08-05,2021-10-04,1
1759102,2021-05-24,2021-11-23,1
1759102,2021-11-24,2022-01-13,1
1759105,2022-03-11,2022-09-10,1
1759110,2022-03-01,2022-07-13,1
1759114,2021-08-11,2022-01-23,1
1759114,2022-01-28,2022-03-16,1
1759119,2022-06-09,2022-09-08,1
1759126,2022-03-21,2022-08-05,1
1759131,2021-09-06,2022-01-16,1
1759135,2022-03-04,2022-06-06,1
1759137,2021-07-05,2021-08-09,1
1759139,2022-06-21,2022-06-27,1
1759145,2022-03-04,2022-09-03,1
1759151,2021-08-23,2022-01-05,1
1759157,2023-07-24,2023-09-26,1
1759160,2022-11-07,2022-11-08,1
1759164,2023-10-23,2024-02-29,1
1759164,2024-03-01,2024-03-31,1
1759167,2023-09-19,2023-09-30,1
1759172,2022-11-28,2022-12-31,1
1759172,2022-09-13,2022-11-06,1
1759172,2023-01-02,2023-01-14,1
1759175,2023-09-11,2023-09-19,1
1759176,2022-11-28,2022-11-30,1
1759176,2022-10-07,2022-11-06,1
1759178,2023-01-02,2023-01-14,1
1759178,2022-12-13,2022-12-31,1
1759181,2023-09-20,2023-09-30,1
1759184,2023-09-15,2023-09-30,1
1759188,2023-09-20,2023-09-30,1
1759189,2023-09-15,2023-09-30,1
